ticker,quantity,price,cost_basis,asset_class,market_value,weight
AAPL,355.12,118.39,120.82,equity,42042.656800000004,0.17303276626045308
JPM,611.97,100.63,106.64,equity,61582.5411,0.25345204729975684
NVDA,121.12,119.19,107.29,equity,14436.292800000001,0.05941469611715551
V,306.2,103.12,93.06,equity,31575.344,0.12995299378761904
META,318.81,93.95,89.8,equity,29952.199500000002,0.12327270276292243
MSFT,418.04,112.9,107.58,equity,47196.71600000001,0.19424505845903123
IEF,37.86,83.3,90.84,bonds,3153.738,0.012979674733607907
LQD,14.0,91.07,86.03,bonds,1274.98,0.005247368580349862
TLT,63.43,116.55,107.04,bonds,7392.7665,0.030426022881898548
CASH,47.41,92.13,104.76,cash,4367.8832999999995,0.017976669117205656
